X,Y,u (1) @ t=0,u (1) @ t=0.05,u (1) @ t=0.1,u (1) @ t=0.15,u (1) @ t=0.2,u (1) @ t=0.25,u (1) @ t=0.3,u (1) @ t=0.35,u (1) @ t=0.4,u (1) @ t=0.45,u (1) @ t=0.5,u (1) @ t=0.55,u (1) @ t=0.6,u (1) @ t=0.65,u (1) @ t=0.7,u (1) @ t=0.75,u (1) @ t=0.8,u (1) @ t=0.85,u (1) @ t=0.9,u (1) @ t=0.95,u (1) @ t=1,u (1) @ t=1.05,u (1) @ t=1.1,u (1) @ t=1.15,u (1) @ t=1.2,u (1) @ t=1.25,u (1) @ t=1.3,u (1) @ t=1.35,u (1) @ t=1.4,u (1) @ t=1.45,u (1) @ t=1.5,u (1) @ t=1.55,u (1) @ t=1.6,u (1) @ t=1.65,u (1) @ t=1.7,u (1) @ t=1.75,u (1) @ t=1.8,u (1) @ t=1.85,u (1) @ t=1.9,u (1) @ t=1.95,u (1) @ t=2
0,0,-2.5448211572010733E-5,-0.1999317126582426,-0.24656091507495478,-0.23657538290979202,-0.21528548574219974,-0.19517496907326481,-0.17761801625131446,-0.16274489938480538,-0.15046982850459148,-0.14150929754508773,-0.14061422781146676,-0.1648125430757105,-0.24903427114051704,-0.3937010542756709,-0.5122587376434005,-0.5581126337876948,-0.5566651275634164,-0.5405521217885269,-0.5191681883032346,-0.49617559876281225,-0.473922866372822,-0.45305932716827374,-0.4335166051737397,-0.4152604617530945,-0.3985188167265187,-0.3838507148979469,-0.3718106237938619,-0.3621710637675297,-0.3541451764682833,-0.3466380838935669,-0.33901142698588654,-0.33132508680443473,-0.3237058161513791,-0.3165342043289524,-0.31010959916472924,-0.3048756631319513,-0.30132173826693753,-0.29976207183418885,-0.30067395925921636,-0.30449495348648464,-0.3112116716091091
0.03125,0,0.19131213269345188,-0.052009754867712685,-0.12908390027282593,-0.14129540007793326,-0.13603171390717123,-0.12776069303786455,-0.11933844014428327,-0.11200107822118659,-0.10737110656035752,-0.11215180831388927,-0.15228785926539087,-0.2749077553740317,-0.4489909729266898,-0.5537155341148533,-0.5789658626096595,-0.5673572275731147,-0.5434149874578647,-0.5182650271313888,-0.4938270592713622,-0.47079022370049317,-0.4494592150778163,-0.429792013536449,-0.4116670861219802,-0.39513065597610547,-0.380434517444558,-0.36787862948451144,-0.35736393506073133,-0.3482418260830254,-0.33987326298312326,-0.33172819965866573,-0.3236247701773362,-0.315826364426848,-0.3084363124055403,-0.3020745315409867,-0.29681765478062266,-0.2935975351348964,-0.29283729901962735,-0.29485405926546326,-0.3001013248338557,-0.30870854350436844,-0.32031415703070787
0,0.031249999999999997,0.19131362936942145,-0.07701108347141551,-0.18908644534139307,-0.21074814190089658,-0.20212153918957076,-0.18822882808056282,-0.17403899162683617,-0.16105597328382415,-0.14975185827581483,-0.1406453918320127,-0.13625736755838613,-0.14634276551866118,-0.19599631789715824,-0.3113684146349094,-0.4477751897268786,-0.527178762051038,-0.5443976018700777,-0.5375832207515283,-0.5206038246215096,-0.49939755472500275,-0.4779769410590948,-0.45773488353425806,-0.4388045509602274,-0.4210721868341809,-0.40454997806555965,-0.3893880724623714,-0.37586255723739137,-0.3642007774886825,-0.3543442197018263,-0.3458764080374788,-0.3380490631244736,-0.33038923517324487,-0.32288790684827845,-0.31569443975549544,-0.3091188245086859,-0.30353449101553875,-0.29935086696970553,-0.2968696231544565,-0.29655968750535744,-0.2989404513411897,-0.30410377312274667
0.03125,0.03125,0.3826515070532922,0.07228956213279188,-0.0684589655041699,-0.1117463988452637,-0.11949396333022493,-0.1178488991009412,-0.11307355337678204,-0.10766177251182832,-0.10317624910168917,-0.10309633905732761,-0.12113506503796051,-0.19274476643079538,-0.34322356348251787,-0.48697447062085714,-0.5517045470688143,-0.5584614393570434,-0.5415560332644224,-0.5193352803965373,-0.4961983788321254,-0.47366868117418987,-0.45261432326578943,-0.4331659108377483,-0.415178187310425,-0.39859259752485027,-0.38346280928545334,-0.3699421453531488,-0.3581629182823213,-0.34797889430597817,-0.33898154330123714,-0.3306799255744366,-0.32269949547684385,-0.3149654290430359,-0.30769817334886634,-0.3009933275511491,-0.29542810968834116,-0.29135410356003155,-0.28938677270514795,-0.28985943463787894,-0.29326471659395803,-0.29994494110818376,-0.3097474509910894
0,0.06249999999999999,0.353527924139127,0.06888647998541425,-0.10694615230213127,-0.17183678990329404,-0.18176870604698908,-0.17646200397279005,-0.16695203918066018,-0.15665162071037977,-0.14689650548624708,-0.1383673395781062,-0.13244816708655005,-0.13426534829288514,-0.1588649048238739,-0.2342776310445015,-0.36145335466389555,-0.4730019989808086,-0.5183023341813559,-0.5273322559433946,-0.5182132524220968,-0.5001718397962464,-0.4798589072703702,-0.46014621593852034,-0.44165733205673924,-0.42427981721708014,-0.40800841734438714,-0.39287979192388006,-0.3789956359869955,-0.36646995710302077,-0.3553860767122102,-0.3458085354956018,-0.337411478366306,-0.32961905779043443,-0.32211580979644205,-0.3149210487761131,-0.30824717574434835,-0.3023693417664305,-0.29765497810277647,-0.29437549507013877,-0.29295924534259865,-0.29394129255017615,-0.29747596986388575
0.03125,0.0625,0.544865906027687,0.21753581711994668,0.014748464458786342,-0.06997585964246923,-0.09609011959898664,-0.10333499971165165,-0.103505292166022,-0.10090671534670025,-0.09766404446233669,-0.09594308693019339,-0.10241896934680966,-0.13752288535137253,-0.23683900578480266,-0.3873833100220251,-0.49830755815348504,-0.537338333114556,-0.5336560828470341,-0.5175203611555123,-0.49707937936878177,-0.47550375107294857,-0.45482446624810446,-0.4355962632956,-0.4177411405042202,-0.40116576455914277,-0.38586410896883144,-0.3718899296225781,-0.3593377543134552,-0.3482464767582904,-0.33849969655423956,-0.32982398608500085,-0.32181537021386425,-0.3141574003754585,-0.30685228698404343,-0.3001145906694455,-0.29416873585112197,-0.28951790717387327,-0.28659553557433615,-0.2857294542902019,-0.28742171486051993,-0.2921547509884276,-0.29992913464565346
0.0625,0,0.35352418896343424,0.09036735911761667,-0.015572720217112977,-0.050132073996175044,-0.06071642399437054,-0.06419480708436937,-0.06519152268597209,-0.06725457553263575,-0.08017920452428413,-0.1414172932426479,-0.3108274898978324,-0.5021849985435404,-0.5854537346216175,-0.5932429517443513,-0.571796402404285,-0.543046657877308,-0.5152972725703534,-0.48936666507557375,-0.46536789727865774,-0.44337233020992106,-0.4232622553429303,-0.4049158435356355,-0.388323849976206,-0.3736359660021223,-0.3610109252293719,-0.35026058032209345,-0.3407824385607609,-0.3319561271180691,-0.32340613969944937,-0.3152068680190902,-0.307160031721894,-0.3001549288236008,-0.29314557624147236,-0.28841910732502096,-0.285044256237702,-0.28511969157867867,-0.28846304957608265,-0.2952717232611281,-0.3057661840443146,-0.31927680135609815,-0.33494342932850873
0.0625,0.03125,0.5448644086472297,0.2205280249074963,0.05186939800137439,-0.01457187723669324,-0.039146872131392944,-0.049891107403864945,-0.054729164312967614,-0.05767770712274481,-0.06397958490370204,-0.09156771012219916,-0.19055087075880067,-0.376936030429078,-0.5228921556023757,-0.5707065411375098,-0.5658642261455727,-0.5433523864096144,-0.5170457261528861,-0.49183571323273423,-0.46817472010756506,-0.4463044238666856,-0.4262258668505529,-0.4078119881590685,-0.39094847538802274,-0.3756455179929612,-0.3620231080332442,-0.35017458439313554,-0.3399110077331101,-0.33078050803668113,-0.3222992766519534,-0.3141690613199664,-0.3063958967860204,-0.29895621372434517,-0.2925194265363524,-0.28682481827419454,-0.2830360040033333,-0.2813587730454808,-0.28265368599156854,-0.2871894742837625,-0.2953088179153529,-0.3067960438820907,-0.3210592998699772
0,0.09374999999999999,0.46191982890299654,0.2175542730529791,0.0026496005560937472,-0.11570501574431309,-0.15335581550186106,-0.15977983770391965,-0.1565024651123877,-0.1497586481060206,-0.14213243298031641,-0.13476306738383903,-0.12864279851104712,-0.1263901970220661,-0.1360429057587419,-0.1771640855324617,-0.2707248195363949,-0.39343450234640504,-0.4720663249657872,-0.5055103318069911,-0.5100982591262054,-0.49825025271538714,-0.4801479123895034,-0.46126760890489843,-0.44328461417978154,-0.4263161696693808,-0.41028247556583974,-0.3952621005249647,-0.3812981745007611,-0.3684658406282479,-0.3567858733851659,-0.34635438558019777,-0.33715976231117695,-0.3290121316833707,-0.3214743993081314,-0.31424268732613253,-0.3074836410217339,-0.3013815754103792,-0.29625177576080225,-0.2923256987842969,-0.2899736077883743,-0.2897044933263442,-0.29170218516284796
0.03125,0.09374999999999999,0.6532577065727773,0.3639274922192547,0.12216279317985936,-0.012801627754110603,-0.06523521177992042,-0.08423681845234769,-0.09082739617181931,-0.0919411055406163,-0.0907764162424441,-0.08930370604080881,-0.09090184856503865,-0.10577561941639975,-0.15842101347984475,-0.2738010493738272,-0.4107925857010539,-0.4935765379168279,-0.5144093969171919,-0.5104238346955824,-0.49565122591138666,-0.47617959816964295,-0.45623455927613094,-0.43735539371152465,-0.41973108913214785,-0.40326415009309535,-0.3879397550847505,-0.3737739833428864,-0.36080334668307157,-0.34908083563344,-0.33861117332701596,-0.3293567890058418,-0.32107755260612264,-0.31343240018036833,-0.30618646034275393,-0.29937231427524574,-0.2932516450629352,-0.2881385333597263,-0.2844524073636709,-0.2824906417782308,-0.28271680652718195,-0.2856603177859028,-0.29142241412769887
